student_id,academic_year,subject_code,attendance_percentage,participation_score
S144-24,2023-2024,SUB05,,7
S146-25,2024-2025,SUB04,90,7
S148-25,2024-2025,SUB04,83,7
S148-25,2024-2025,SUB05,46,7
S149-25,2024-2025,SUB01,54,7
S149-25,2024-2025,SUB04,49,7
S844-24,2023-2024,SUB03,70,4
S666-24,2023-2024,SUB03,70,4
S155-25,2024-2025,SUB01,43,7
S250-25,2024-2025,SUB03,70,4
S619-24,2023-2024,SUB02,80,4
S157-24,2023-2024,SUB05,69,7
S194-25,2024-2025,SUB02,80,3
S161-24,2023-2024,SUB01,47,7
S292-25,2024-2025,SUB02,80,3
S163-25,2024-2025,SUB04,93,7
S163-25,2024-2025,SUB05,60,7
S134-24,2023-2024,SUB02,80,2
S165-25,2024-2025,SUB04,83,7
S165-25,2024-2025,SUB05,84,7
S310-25,2024-2025,SUB02,80,2
S169-24,2023-2024,SUB05,,7
S903-25,2024-2025,SUB02,80,2
S172-25,2024-2025,SUB01,47,7
S172-25,2024-2025,SUB04,72,7
S173-24,2023-2024,SUB05,51,7
S175-24,2023-2024,SUB04,63,7
S175-24,2023-2024,SUB05,82,7
S178-25,2024-2025,SUB05,82,7
S929-24,2023-2024,SUB02,80,2
S184-24,2023-2024,SUB04,73,7
S186-24,2023-2024,SUB01,76,7
S929-24,2023-2024,SUB02,80,2
S447-25,2024-2025,SUB02,80,
S194-25,2024-2025,SUB01,69,7
S801-24,2023-2024,SUB02,80,
S200-25,2024-2025,SUB04,95,7
S201-24,2023-2024,SUB04,81,7
S203-24,2023-2024,SUB04,40,7
S489-25,2024-2025,SUB02,80,7
S204-24,2023-2024,SUB05,57,8
S812-24,2023-2024,SUB02,80,7
S206-25,2024-2025,SUB04,81,8
S207-25,2024-2025,SUB01,,8
S208-25,2024-2025,SUB05,90,8
S112-25,2024-2025,SUB03,70,4
S212-24,2023-2024,SUB01,43,8
S215-24,2023-2024,SUB04,49,8
S325-24,2023-2024,SUB03,70,4
S218-24,2023-2024,SUB05,60,8
S169-24,2023-2024,SUB02,80,7
S220-24,2023-2024,SUB04,65,8
S668-25,2024-2025,SUB03,70,4
S223-24,2023-2024,SUB04,80,8
S365-24,2023-2024,SUB03,70,4
S226-25,2024-2025,SUB04,95,8
S229-25,2024-2025,SUB04,68,8
S584-24,2023-2024,SUB03,70,4
S232-25,2024-2025,SUB01,51,8
S233-25,2024-2025,SUB05,,8
S783-24,2023-2024,SUB03,70,4
S238-25,2024-2025,SUB01,88,8
S239-24,2023-2024,SUB01,86,8
S240-24,2023-2024,SUB05,55,8
S345-25,2024-2025,SUB03,70,4
S244-25,2024-2025,SUB05,73,8
S779-25,2024-2025,SUB02,80,8
S760-24,2023-2024,SUB03,70,4
S068-25,2024-2025,SUB03,70,3
S254-25,2024-2025,SUB04,70,8
S550-24,2023-2024,SUB02,80,7
S462-25,2024-2025,SUB03,70,3
S258-25,2024-2025,SUB05,40,8
S262-24,2023-2024,SUB05,81,8
S263-24,2023-2024,SUB05,67,8
S792-24,2023-2024,SUB02,80,7
S012-24,2023-2024,SUB02,80,6
S324-24,2023-2024,SUB02,80,6
S272-24,2023-2024,SUB01,88,8
S747-25,2024-2025,SUB03,70,3
S278-24,2023-2024,SUB04,47,8
S282-24,2023-2024,SUB04,63,8
S289-25,2024-2025,SUB01,47,8
S354-25,2024-2025,SUB02,80,6
S293-24,2023-2024,SUB05,82,8
S294-25,2024-2025,SUB04,59,8
S299-25,2024-2025,SUB01,69,8
S300-25,2024-2025,SUB04,81,8
S300-25,2024-2025,SUB05,86,8
S650-25,2024-2025,SUB02,80,6
S303-25,2024-2025,SUB01,88,8
S304-25,2024-2025,SUB05,66,8
S305-25,2024-2025,SUB05,46,8
S050-25,2024-2025,SUB03,70,3
S313-24,2023-2024,SUB04,50,8
S316-24,2023-2024,SUB01,79,8
S921-25,2024-2025,SUB02,80,6
S320-25,2024-2025,SUB05,92,8
S321-24,2023-2024,SUB01,70,8
S321-24,2023-2024,SUB05,61,8
S184-24,2023-2024,SUB03,70,3
S325-24,2023-2024,SUB05,44,8
S327-24,2023-2024,SUB04,,8
S328-24,2023-2024,SUB04,80,8
S328-24,2023-2024,SUB05,42,8
S330-25,2024-2025,SUB01,52,8
S330-25,2024-2025,SUB05,80,8
S333-25,2024-2025,SUB01,76,8
S480-24,2023-2024,SUB02,80,5
S333-25,2024-2025,SUB04,95,8
S488-25,2024-2025,SUB02,80,5
S335-24,2023-2024,SUB05,57,8
S336-24,2023-2024,SUB01,,8
S343-24,2023-2024,SUB01,53,8
S345-25,2024-2025,SUB05,67,8
S348-25,2024-2025,SUB01,82,8
S351-25,2024-2025,SUB04,41,8
S947-25,2024-2025,SUB03,70,3
S354-25,2024-2025,SUB05,66,8
S356-24,2023-2024,SUB05,85,8
S358-25,2024-2025,SUB01,78,8
S569-24,2023-2024,SUB02,80,5
S360-24,2023-2024,SUB01,42,8
S472-24,2023-2024,SUB02,80,4
S362-24,2023-2024,SUB05,82,8
S155-25,2024-2025,SUB03,70,3
S363-24,2023-2024,SUB04,69,8
S364-24,2023-2024,SUB01,48,8
S367-24,2023-2024,SUB05,88,8
S223-24,2023-2024,SUB03,70,3
S370-25,2024-2025,SUB04,62,8
S078-24,2023-2024,SUB02,80,3
S614-24,2023-2024,SUB03,70,3
S381-24,2023-2024,SUB04,77,8
S381-24,2023-2024,SUB05,83,8
S384-25,2024-2025,SUB01,44,8
S441-24,2023-2024,SUB02,80,3
S384-25,2024-2025,SUB05,51,8
S783-24,2023-2024,SUB02,80,3
S386-25,2024-2025,SUB05,93,8
S388-25,2024-2025,SUB01,81,8
S390-25,2024-2025,SUB04,62,8
S390-25,2024-2025,SUB05,74,8
S802-25,2024-2025,SUB03,70,3
S583-24,2023-2024,SUB03,70,3
S635-25,2024-2025,SUB03,70,3
S396-24,2023-2024,SUB04,95,8
S397-24,2023-2024,SUB01,40,8
S398-25,2024-2025,SUB04,78,8
S865-24,2023-2024,SUB03,70,3
S400-25,2024-2025,SUB04,50,8
S769-25,2024-2025,SUB03,70,3
S405-24,2023-2024,SUB01,41,8
S405-24,2023-2024,SUB05,48,8
S407-24,2023-2024,SUB01,61,8
S350-25,2024-2025,SUB02,80,2
S408-25,2024-2025,SUB05,88,8
S409-24,2023-2024,SUB05,48,8
S145-25,2024-2025,SUB03,70,2
S129-25,2024-2025,SUB03,70,2
S420-24,2023-2024,SUB05,51,8
S421-24,2023-2024,SUB05,77,8
S691-24,2023-2024,SUB02,80,2
S133-24,2023-2024,SUB03,70,2
S426-25,2024-2025,SUB05,83,8
S427-25,2024-2025,SUB04,54,8
S429-24,2023-2024,SUB01,41,8
S980-25,2024-2025,SUB02,80,2
S433-24,2023-2024,SUB01,58,8
S215-24,2023-2024,SUB02,80,
S218-24,2023-2024,SUB03,70,2
S094-24,2023-2024,SUB02,80,7
S440-25,2024-2025,SUB01,60,8
S440-25,2024-2025,SUB04,68,8
S441-24,2023-2024,SUB01,,8
S441-24,2023-2024,SUB04,55,8
S447-25,2024-2025,SUB05,45,8
S238-25,2024-2025,SUB02,80,7
S490-24,2023-2024,SUB03,70,2
S451-25,2024-2025,SUB04,57,8
S452-24,2023-2024,SUB04,61,8
S454-25,2024-2025,SUB01,88,8
S530-24,2023-2024,SUB03,70,2
S313-24,2023-2024,SUB02,80,7
S482-24,2023-2024,SUB03,70,2
S463-24,2023-2024,SUB04,92,8
S464-25,2024-2025,SUB01,56,8
S464-25,2024-2025,SUB05,85,8
S704-25,2024-2025,SUB03,70,2
S465-24,2023-2024,SUB05,91,8
S915-25,2024-2025,SUB03,70,2
S428-24,2023-2024,SUB02,80,7
S470-25,2024-2025,SUB04,73,8
S196-25,2024-2025,SUB03,70,2
S564-24,2023-2024,SUB03,70,2
S474-25,2024-2025,SUB05,83,8
S525-24,2023-2024,SUB02,80,7
S476-25,2024-2025,SUB01,49,8
S805-25,2024-2025,SUB02,80,7
S476-25,2024-2025,SUB05,54,8
S478-24,2023-2024,SUB04,62,8
S479-25,2024-2025,SUB05,67,8
S481-24,2023-2024,SUB01,45,8
S481-24,2023-2024,SUB05,80,8
S482-24,2023-2024,SUB01,56,8
S482-24,2023-2024,SUB04,57,8
S483-24,2023-2024,SUB05,85,8
S484-24,2023-2024,SUB01,82,8
S485-25,2024-2025,SUB05,41,8
S488-25,2024-2025,SUB05,62,8
S491-25,2024-2025,SUB05,61,8
S496-24,2023-2024,SUB04,87,8
S663-24,2023-2024,SUB03,70,2
S131-24,2023-2024,SUB03,70,2
S504-24,2023-2024,SUB01,51,8
S504-24,2023-2024,SUB05,85,8
S506-25,2024-2025,SUB05,65,8
S629-24,2023-2024,SUB03,70,2
S509-24,2023-2024,SUB05,85,8
S511-24,2023-2024,SUB01,66,8
S102-25,2024-2025,SUB03,70,2
S518-25,2024-2025,SUB05,71,8
S520-25,2024-2025,SUB04,60,8
S521-25,2024-2025,SUB05,95,8
S522-24,2023-2024,SUB01,79,8
S202-25,2024-2025,SUB03,70,2
S524-24,2023-2024,SUB01,49,8
S530-24,2023-2024,SUB04,51,8
S276-25,2024-2025,SUB03,70,2
S587-25,2024-2025,SUB03,70,2
S536-24,2023-2024,SUB01,89,8
S539-25,2024-2025,SUB01,87,8
S031-24,2023-2024,SUB02,80,7
S437-24,2023-2024,SUB03,70,2
S543-25,2024-2025,SUB01,90,8
S547-25,2024-2025,SUB05,81,8
S551-24,2023-2024,SUB04,62,8
S556-24,2023-2024,SUB01,50,8
S458-24,2023-2024,SUB03,70,2
S558-24,2023-2024,SUB01,60,8
S559-25,2024-2025,SUB01,53,8
S559-25,2024-2025,SUB04,55,8
S562-24,2023-2024,SUB01,41,8
S017-25,2024-2025,SUB03,70,2
S367-24,2023-2024,SUB03,70,2
S567-24,2023-2024,SUB04,62,8
S568-25,2024-2025,SUB04,52,8
S570-24,2023-2024,SUB05,87,8
S182-24,2023-2024,SUB02,80,7
S573-24,2023-2024,SUB04,85,8
S780-24,2023-2024,SUB03,70,
S574-25,2024-2025,SUB05,89,8
S152-24,2023-2024,SUB03,70,
S580-25,2024-2025,SUB04,93,8
S581-24,2023-2024,SUB04,82,8
S222-24,2023-2024,SUB03,70,
S583-24,2023-2024,SUB04,93,8
S583-24,2023-2024,SUB05,95,8
S584-24,2023-2024,SUB04,70,8
S793-25,2024-2025,SUB03,70,
S586-25,2024-2025,SUB04,63,8
S590-24,2023-2024,SUB01,75,8
S595-25,2024-2025,SUB04,54,8
S025-25,2024-2025,SUB02,80,7
S599-24,2023-2024,SUB05,58,8
S600-25,2024-2025,SUB01,85,8
S811-25,2024-2025,SUB03,70,7
S296-25,2024-2025,SUB02,80,7
S604-24,2023-2024,SUB05,55,8
S605-25,2024-2025,SUB05,45,8
S567-24,2023-2024,SUB02,80,6
S602-24,2023-2024,SUB02,80,6
S924-25,2024-2025,SUB03,70,7
S613-25,2024-2025,SUB04,53,8
S614-24,2023-2024,SUB04,83,8
S614-24,2023-2024,SUB05,86,8
S343-24,2023-2024,SUB03,70,6
S466-24,2023-2024,SUB03,70,6
S629-24,2023-2024,SUB01,,8
S762-24,2023-2024,SUB02,80,6
S638-25,2024-2025,SUB04,63,8
S639-25,2024-2025,SUB01,52,8
S558-24,2023-2024,SUB03,70,6
S642-25,2024-2025,SUB05,51,8
S582-25,2024-2025,SUB03,70,5
S645-24,2023-2024,SUB05,84,8
S243-24,2023-2024,SUB03,70,4
S997-24,2023-2024,SUB02,80,6
S649-24,2023-2024,SUB04,,8
S652-25,2024-2025,SUB04,44,8
S501-24,2023-2024,SUB02,80,5
S657-24,2023-2024,SUB01,,8
S386-25,2024-2025,SUB03,70,4
S658-24,2023-2024,SUB05,65,8
S659-25,2024-2025,SUB05,42,8
S661-25,2024-2025,SUB05,86,8
S662-24,2023-2024,SUB01,,8
S921-25,2024-2025,SUB03,70,4
S664-25,2024-2025,SUB05,59,8
S666-24,2023-2024,SUB01,82,8
S666-24,2023-2024,SUB05,,8
S382-25,2024-2025,SUB02,80,4
S673-24,2023-2024,SUB04,82,8
S676-25,2024-2025,SUB01,82,8
S234-24,2023-2024,SUB03,70,3
S554-25,2024-2025,SUB02,80,4
S257-24,2023-2024,SUB02,80,3
S685-24,2023-2024,SUB05,55,8
S686-25,2024-2025,SUB01,73,8
S744-25,2024-2025,SUB02,80,3
S688-25,2024-2025,SUB05,75,8
S691-24,2023-2024,SUB05,79,8
S934-24,2023-2024,SUB02,80,3
S693-25,2024-2025,SUB04,91,8
S697-24,2023-2024,SUB04,41,8
S227-24,2023-2024,SUB02,80,2
S588-25,2024-2025,SUB03,70,3
S701-24,2023-2024,SUB05,47,8
S703-24,2023-2024,SUB04,45,8
S704-25,2024-2025,SUB01,44,8
S706-25,2024-2025,SUB01,51,8
S871-25,2024-2025,SUB02,80,2
S708-25,2024-2025,SUB04,76,8
S336-24,2023-2024,SUB02,80,7
S714-25,2024-2025,SUB01,68,8
S714-25,2024-2025,SUB04,71,8
S716-25,2024-2025,SUB05,40,8
S940-25,2024-2025,SUB03,70,2
S721-24,2023-2024,SUB01,78,8
S721-24,2023-2024,SUB04,60,8
S723-25,2024-2025,SUB01,51,8
S073-24,2023-2024,SUB03,70,7
S349-25,2024-2025,SUB03,70,7
S727-24,2023-2024,SUB01,89,8
S380-25,2024-2025,SUB03,70,7
S727-24,2023-2024,SUB04,82,8
S733-25,2024-2025,SUB05,71,8
S734-25,2024-2025,SUB05,64,8
S737-25,2024-2025,SUB05,59,8
S791-24,2023-2024,SUB02,80,7
S505-25,2024-2025,SUB03,70,7
S743-24,2023-2024,SUB04,40,8
S519-25,2024-2025,SUB03,70,7
S748-25,2024-2025,SUB01,46,8
S752-25,2024-2025,SUB05,44,8
S978-25,2024-2025,SUB03,70,8
S754-24,2023-2024,SUB05,90,8
S755-25,2024-2025,SUB05,,8
S764-24,2023-2024,SUB01,46,8
S834-24,2023-2024,SUB02,80,7
S198-24,2023-2024,SUB02,80,7
S205-25,2024-2025,SUB02,80,8
S767-25,2024-2025,SUB05,90,8
S123-24,2023-2024,SUB03,70,7
S771-25,2024-2025,SUB04,73,8
S772-25,2024-2025,SUB04,84,8
S772-25,2024-2025,SUB05,88,8
S407-24,2023-2024,SUB02,80,8
S777-25,2024-2025,SUB01,48,8
S722-24,2023-2024,SUB03,70,6
S448-24,2023-2024,SUB02,80,8
S780-24,2023-2024,SUB05,40,8
S786-25,2024-2025,SUB01,79,8
S706-25,2024-2025,SUB02,80,8
S740-25,2024-2025,SUB03,70,5
S790-24,2023-2024,SUB05,49,8
S792-24,2023-2024,SUB04,45,8
S793-25,2024-2025,SUB01,60,8
S766-25,2024-2025,SUB02,80,8
S122-24,2023-2024,SUB03,70,4
S796-24,2023-2024,SUB04,55,8
S797-24,2023-2024,SUB01,64,8
S266-25,2024-2025,SUB02,80,7
S799-24,2023-2024,SUB05,46,8
S692-24,2023-2024,SUB02,80,7
S803-25,2024-2025,SUB04,71,8
S657-24,2023-2024,SUB03,70,3
S854-24,2023-2024,SUB02,80,7
S813-25,2024-2025,SUB05,82,8
S141-24,2023-2024,SUB02,80,6
S886-24,2023-2024,SUB03,70,2
S815-24,2023-2024,SUB04,80,8
S440-25,2024-2025,SUB03,70,
S819-24,2023-2024,SUB01,70,8
S821-24,2023-2024,SUB01,79,8
S821-24,2023-2024,SUB05,84,8
S824-24,2023-2024,SUB05,88,8
S011-24,2023-2024,SUB03,70,7
S825-24,2023-2024,SUB04,50,8
S828-25,2024-2025,SUB04,,8
S321-24,2023-2024,SUB02,80,6
S830-24,2023-2024,SUB05,53,8
S832-24,2023-2024,SUB01,,8
S695-24,2023-2024,SUB02,80,6
S833-25,2024-2025,SUB05,56,8
S825-24,2023-2024,SUB02,80,6
S837-24,2023-2024,SUB01,72,8
S838-24,2023-2024,SUB05,49,8
S840-25,2024-2025,SUB04,47,8
S841-24,2023-2024,SUB05,62,8
S895-24,2023-2024,SUB02,80,6
S187-24,2023-2024,SUB03,70,8
S505-25,2024-2025,SUB02,80,5
S844-24,2023-2024,SUB05,77,8
S526-25,2024-2025,SUB03,70,8
S845-25,2024-2025,SUB05,49,8
S645-24,2023-2024,SUB03,70,8
S862-24,2023-2024,SUB03,70,8
S072-25,2024-2025,SUB03,70,7
S029-24,2023-2024,SUB03,70,6
S855-24,2023-2024,SUB05,40,8
S856-24,2023-2024,SUB01,49,8
S154-24,2023-2024,SUB03,70,5
S856-24,2023-2024,SUB05,67,8
S409-24,2023-2024,SUB03,70,5
S857-24,2023-2024,SUB05,81,8
S508-25,2024-2025,SUB03,70,5
S859-24,2023-2024,SUB05,79,8
S861-24,2023-2024,SUB05,72,8
S863-25,2024-2025,SUB04,70,8
S865-24,2023-2024,SUB05,44,8
S867-24,2023-2024,SUB04,92,8
S869-24,2023-2024,SUB05,62,8
S870-24,2023-2024,SUB01,80,8
S551-24,2023-2024,SUB03,70,5
S871-25,2024-2025,SUB04,,8
S873-25,2024-2025,SUB04,52,8
S817-24,2023-2024,SUB03,70,5
S616-25,2024-2025,SUB02,80,4
S877-25,2024-2025,SUB05,46,8
S880-24,2023-2024,SUB01,83,8
S881-24,2023-2024,SUB04,,8
S837-24,2023-2024,SUB02,80,4
S884-25,2024-2025,SUB01,88,8
S884-25,2024-2025,SUB04,77,8
S887-24,2023-2024,SUB05,,8
S620-25,2024-2025,SUB03,70,4
S906-24,2023-2024,SUB02,80,4
S218-24,2023-2024,SUB02,80,2
S890-25,2024-2025,SUB05,76,8
S891-24,2023-2024,SUB04,89,8
S706-25,2024-2025,SUB03,70,4
S896-25,2024-2025,SUB04,59,8
S303-25,2024-2025,SUB02,80,
S901-25,2024-2025,SUB01,71,8
S097-24,2023-2024,SUB02,80,7
S903-25,2024-2025,SUB01,62,8
S903-25,2024-2025,SUB04,41,8
S304-25,2024-2025,SUB02,80,7
S908-25,2024-2025,SUB01,,8
S911-25,2024-2025,SUB05,90,8
S912-24,2023-2024,SUB01,53,8
S673-24,2023-2024,SUB02,80,7
S382-25,2024-2025,SUB03,70,3
S915-25,2024-2025,SUB05,61,8
S916-25,2024-2025,SUB04,71,8
S916-25,2024-2025,SUB05,46,8
S921-25,2024-2025,SUB01,46,8
S393-25,2024-2025,SUB03,70,3
S922-25,2024-2025,SUB01,76,8
S922-25,2024-2025,SUB05,89,8
S917-25,2024-2025,SUB02,80,7
S924-25,2024-2025,SUB01,91,8
S555-24,2023-2024,SUB03,70,3
S925-25,2024-2025,SUB04,46,8
S107-25,2024-2025,SUB03,70,2
S929-24,2023-2024,SUB01,95,8
S681-25,2024-2025,SUB03,70,2
S384-25,2024-2025,SUB02,80,8
S930-25,2024-2025,SUB04,73,8
S931-24,2023-2024,SUB05,84,8
S933-25,2024-2025,SUB01,60,8
S999-24,2023-2024,SUB02,80,7
S936-25,2024-2025,SUB05,75,8
S708-25,2024-2025,SUB03,70,2
S943-24,2023-2024,SUB01,56,8
S625-25,2024-2025,SUB02,80,6
S946-24,2023-2024,SUB01,44,8
S909-25,2024-2025,SUB02,80,6
S947-25,2024-2025,SUB04,93,8
S948-24,2023-2024,SUB04,56,8
S953-25,2024-2025,SUB04,94,8
S721-24,2023-2024,SUB03,70,2
S955-25,2024-2025,SUB05,85,8
S097-24,2023-2024,SUB03,70,
S956-25,2024-2025,SUB04,,8
S957-24,2023-2024,SUB01,50,8
S958-25,2024-2025,SUB01,85,8
S958-25,2024-2025,SUB04,61,8
S920-25,2024-2025,SUB03,70,
S961-24,2023-2024,SUB01,91,8
S961-24,2023-2024,SUB04,86,8
S961-24,2023-2024,SUB05,57,8
S966-25,2024-2025,SUB01,58,8
S967-24,2023-2024,SUB01,43,8
S225-24,2023-2024,SUB03,70,8
S967-24,2023-2024,SUB04,,8
S968-25,2024-2025,SUB04,45,8
S969-24,2023-2024,SUB01,74,8
S615-24,2023-2024,SUB03,70,8
S971-24,2023-2024,SUB04,92,8
S972-24,2023-2024,SUB05,77,8
S975-25,2024-2025,SUB05,,8
S976-25,2024-2025,SUB04,60,8
S127-25,2024-2025,SUB02,80,4
S868-24,2023-2024,SUB03,70,8
S978-25,2024-2025,SUB04,81,8
S986-25,2024-2025,SUB04,64,8
S986-25,2024-2025,SUB05,47,8
S912-24,2023-2024,SUB03,70,8
S992-25,2024-2025,SUB04,93,8
S232-25,2024-2025,SUB02,80,4
S997-24,2023-2024,SUB01,52,8
S319-25,2024-2025,SUB03,70,7
S960-25,2024-2025,SUB02,80,4
S999-24,2023-2024,SUB01,75,8
S1000-25,2024-2025,SUB01,56,8
S327-24,2023-2024,SUB02,83,2
S013-24,2023-2024,SUB02,83,
S004-24,2023-2024,SUB04,44,7
S837-24,2023-2024,SUB03,70,7
S006-25,2024-2025,SUB05,74,7
S008-24,2023-2024,SUB04,53,7
S009-24,2023-2024,SUB01,49,7
S056-25,2024-2025,SUB03,70,6
S011-24,2023-2024,SUB01,43,7
S011-24,2023-2024,SUB04,47,7
S596-25,2024-2025,SUB03,70,6
S814-24,2023-2024,SUB03,70,5
S453-24,2023-2024,SUB02,83,
S024-25,2024-2025,SUB05,44,7
S317-24,2023-2024,SUB02,82,7
S028-25,2024-2025,SUB01,52,7
S029-24,2023-2024,SUB01,83,7
S829-25,2024-2025,SUB03,70,5
S033-25,2024-2025,SUB04,79,7
S952-25,2024-2025,SUB03,70,5
S697-24,2023-2024,SUB02,82,7
S037-24,2023-2024,SUB04,80,7
S224-24,2023-2024,SUB03,70,4
S041-25,2024-2025,SUB04,69,7
S626-25,2024-2025,SUB03,70,4
S891-24,2023-2024,SUB03,70,3
S608-24,2023-2024,SUB02,82,8
S048-25,2024-2025,SUB01,57,7
S053-24,2023-2024,SUB05,90,7
S270-24,2023-2024,SUB03,70,2
S843-24,2023-2024,SUB02,82,8
S274-25,2024-2025,SUB03,70,2
S777-25,2024-2025,SUB02,82,7
S067-25,2024-2025,SUB04,73,7
S361-24,2023-2024,SUB03,70,
S028-25,2024-2025,SUB02,82,5
S295-25,2024-2025,SUB02,82,5
S070-25,2024-2025,SUB04,91,7
S477-25,2024-2025,SUB03,70,
S073-24,2023-2024,SUB01,66,7
S628-24,2023-2024,SUB02,82,5
S074-25,2024-2025,SUB01,43,7
S077-24,2023-2024,SUB04,59,7
S080-25,2024-2025,SUB01,46,7
S082-25,2024-2025,SUB01,50,7
S361-24,2023-2024,SUB03,70,
S083-24,2023-2024,SUB01,57,7
S806-25,2024-2025,SUB02,82,4
S087-24,2023-2024,SUB05,62,7
S088-24,2023-2024,SUB01,60,7
S088-24,2023-2024,SUB05,40,7
S049-25,2024-2025,SUB02,82,3
S102-25,2024-2025,SUB04,45,7
S103-25,2024-2025,SUB01,53,7
S107-25,2024-2025,SUB05,50,7
S597-25,2024-2025,SUB02,82,3
S910-25,2024-2025,SUB03,70,7
S113-25,2024-2025,SUB01,50,7
S293-24,2023-2024,SUB03,70,8
S116-25,2024-2025,SUB01,68,7
S709-24,2023-2024,SUB03,70,7
S266-25,2024-2025,SUB03,70,6
S119-24,2023-2024,SUB01,47,7
S120-25,2024-2025,SUB05,87,7
S209-24,2023-2024,SUB03,70,4
S125-25,2024-2025,SUB01,72,7
S126-25,2024-2025,SUB04,49,7
S366-25,2024-2025,SUB03,70,4
S524-24,2023-2024,SUB03,70,4
S372-25,2024-2025,SUB03,70,3
S133-24,2023-2024,SUB05,,7
S728-24,2023-2024,SUB03,70,3
S974-24,2023-2024,SUB03,70,3
S135-25,2024-2025,SUB05,43,7
S985-24,2023-2024,SUB03,70,3
S143-25,2024-2025,SUB01,85,7
S143-25,2024-2025,SUB05,69,7
S543-25,2024-2025,SUB03,70,2
S144-24,2023-2024,SUB04,53,7
S001-24,2023-2024,SUB02,82,2
S150-24,2023-2024,SUB05,83,7
S631-25,2024-2025,SUB03,70,2
S260-24,2023-2024,SUB02,82,
S155-25,2024-2025,SUB05,50,7
S654-25,2024-2025,SUB03,70,2
S157-24,2023-2024,SUB01,,7
S163-25,2024-2025,SUB01,,7
S167-25,2024-2025,SUB05,41,7
S170-24,2023-2024,SUB04,85,7
S744-25,2024-2025,SUB03,70,2
S171-25,2024-2025,SUB05,83,7
S172-25,2024-2025,SUB05,,7
S173-24,2023-2024,SUB01,86,7
S174-24,2023-2024,SUB01,95,7
S853-25,2024-2025,SUB02,82,
S176-24,2023-2024,SUB04,87,7
S851-25,2024-2025,SUB03,70,2
S854-24,2023-2024,SUB03,70,2
S183-24,2023-2024,SUB05,49,7
S185-25,2024-2025,SUB04,80,7
S189-24,2023-2024,SUB04,42,7
S193-25,2024-2025,SUB01,94,7
S265-24,2023-2024,SUB03,70,
S260-24,2023-2024,SUB02,82,
S938-24,2023-2024,SUB03,70,
S113-25,2024-2025,SUB03,70,7
S200-25,2024-2025,SUB01,82,7
S105-25,2024-2025,SUB02,81,7
S107-25,2024-2025,SUB02,81,7
S209-24,2023-2024,SUB01,94,7
S210-24,2023-2024,SUB04,43,7
S211-25,2024-2025,SUB01,75,7
S648-25,2024-2025,SUB03,70,7
S180-25,2024-2025,SUB02,81,7
S215-24,2023-2024,SUB05,50,7
S218-24,2023-2024,SUB01,,7
S221-24,2023-2024,SUB01,62,7
S610-25,2024-2025,SUB02,81,7
S222-24,2023-2024,SUB01,60,7
S225-24,2023-2024,SUB01,81,7
S225-24,2023-2024,SUB05,63,7
S385-25,2024-2025,SUB02,81,8
S227-24,2023-2024,SUB01,56,7
S229-25,2024-2025,SUB01,56,7
S656-25,2024-2025,SUB02,81,8
S230-24,2023-2024,SUB01,77,7
S234-24,2023-2024,SUB04,49,7
S235-24,2023-2024,SUB04,48,7
S763-25,2024-2025,SUB03,70,7
S085-24,2023-2024,SUB02,81,7
S244-25,2024-2025,SUB04,70,7
S628-24,2023-2024,SUB03,70,8
S248-25,2024-2025,SUB04,59,7
S249-25,2024-2025,SUB04,80,7
S251-25,2024-2025,SUB01,47,7
S477-25,2024-2025,SUB02,81,7
S253-24,2023-2024,SUB04,,7
S254-25,2024-2025,SUB01,92,7
S261-24,2023-2024,SUB01,87,7
S943-24,2023-2024,SUB02,81,7
S180-25,2024-2025,SUB03,70,7
S265-24,2023-2024,SUB05,76,7
S972-24,2023-2024,SUB02,81,6
S045-25,2024-2025,SUB02,81,5
S842-25,2024-2025,SUB03,70,7
S274-25,2024-2025,SUB01,95,7
S408-25,2024-2025,SUB02,81,5
S280-24,2023-2024,SUB04,63,7
S281-24,2023-2024,SUB01,62,7
S281-24,2023-2024,SUB05,73,7
S658-24,2023-2024,SUB03,70,5
S283-24,2023-2024,SUB05,46,7
S286-24,2023-2024,SUB01,90,7
S808-25,2024-2025,SUB02,81,5
S288-24,2023-2024,SUB04,63,7
S290-25,2024-2025,SUB05,94,7
S291-24,2023-2024,SUB05,48,7
S292-25,2024-2025,SUB04,51,7
S292-25,2024-2025,SUB05,63,7
S293-24,2023-2024,SUB01,46,7
S898-24,2023-2024,SUB02,81,5
S040-25,2024-2025,SUB02,81,3
S225-24,2023-2024,SUB02,81,2
S302-24,2023-2024,SUB01,93,7
S302-24,2023-2024,SUB04,62,7
S307-24,2023-2024,SUB01,,7
S337-25,2024-2025,SUB02,81,2
S308-25,2024-2025,SUB05,64,7
S972-24,2023-2024,SUB03,70,5
S311-24,2023-2024,SUB01,70,7
S311-24,2023-2024,SUB04,80,7
S278-24,2023-2024,SUB03,70,4
S866-25,2024-2025,SUB02,81,2
S320-25,2024-2025,SUB04,76,7
S688-25,2024-2025,SUB03,70,3
S321-24,2023-2024,SUB04,94,7
S323-25,2024-2025,SUB04,82,7
S324-24,2023-2024,SUB01,64,7
S329-24,2023-2024,SUB05,51,7
S486-24,2023-2024,SUB02,80,7
S336-24,2023-2024,SUB05,43,7
S338-24,2023-2024,SUB04,72,7
S270-24,2023-2024,SUB02,80,8
S339-24,2023-2024,SUB05,,7
