student_id,academic_year,dropout_flag,dropout_date,dropout_stage,dropout_reason,overall_attendance_percentage,family_income_band,academic_score,institution_code,age_at_enrollment,gender
H373-23,2022-2023,0,,,,71,High,82,INST01,21,male
H759-23,2022-2023,1,15-12-2021,Late,Academic,37,Medium,51,INST01,21,Male
H375-23,2022-2023,0,,,,55,Low,87,INST02,17,FEMALE
H825-21,2020-2021,1,13-01-2022,Late,Academic,37,,51,INST01,24,Male
H753-23,2022-2023,1,05-07-2021,Late,Health,36,High,51,INST02,17,Male
H1169-21,2020-2021,1,13-01-2022,Mid,Academic,36,High,51,INST02,25,FEMALE
H379-22,2021-2022,0,,,,63,High,41,INST01,25,male
H743-21,2020-2021,1,17-06-2021,Late,Academic,35,High,51,INST02,17,male
H381-22,2021-2022,0,,,,83,Low,53,INST02,20,FEMALE
H957-22,2021-2022,1,03-08-2021,Late,Personal,35,High,51,INST01,20,Male
H1199-23,2022-2023,1,07-08-2021,Mid,Financial,35,High,51,INST02,21,Male
H384-23,2022-2023,0,,,,80,Medium,60,INST01,22,MALE
H385-21,2020-2021,0,,,,68,Low,37,INST02,21,Male
H386-23,2022-2023,0,,,,64,High,74,INST02,21,female
H1494-23,2022-2023,1,22-02-2022,Late,Academic,35,Low,51,INST02,23,FEMALE
H1933-21,2020-2021,1,28-12-2021,Mid,Personal,35,Low,51,INST02,22,Male
H245-23,2022-2023,1,25-02-2022,Mid,Health,34,Medium,51,INST02,19,Male
H053-22,2021-2022,1,11-08-2021,Mid,Personal,33,Medium,51,INST02,24,MALE
H391-22,2021-2022,0,,,,64,High,50,INST02,17,FEMALE
H1950-23,2022-2023,1,30-07-2021,Mid,Health,33,High,51,INST01,18,female
H393-21,2020-2021,0,,,,43,Medium,67,INST01,23,Male
H477-21,2020-2021,1,14-03-2022,Early,Academic,32,Medium,51,INST02,23,male
H355-23,2022-2023,1,21-08-2021,Mid,Financial,30,High,51,INST01,17,male
H396-23,2022-2023,0,,,,79,Medium,89,INST01,17,Female
H1295-21,2020-2021,1,14-08-2021,Late,Academic,29,High,51,INST01,24,Female
H910-23,2022-2023,1,07-01-2022,Late,Academic,27,High,51,INST01,18,Male
H399-21,2020-2021,0,,,,94,Low,71,INST01,18,female
H400-23,2022-2023,0,,,,30,High,86,INST02,17,Female
H636-22,2021-2022,1,22-03-2022,Late,Personal,26,Medium,51,INST02,25,FEMALE
H402-21,2020-2021,0,,,,33,Low,44,INST01,21,female
H694-22,2021-2022,1,02-06-2021,Mid,Health,25,,51,INST02,25,male
H741-22,2021-2022,1,03-10-2021,Late,Health,55,Medium,50,INST02,20,Male
H405-22,2021-2022,0,,,,88,Medium,60,INST02,24,female
H406-22,2021-2022,0,,,,70,High,71,INST02,17,FEMALE
H712-21,2020-2021,1,05-11-2021,Mid,Health,54,Medium,50,INST01,23,FEMALE
H1032-21,2020-2021,1,10-07-2021,Early,Health,54,,50,INST01,20,Female
H1272-23,2022-2023,1,29-10-2021,Mid,Health,54,Low,50,INST01,23,Male
H410-21,2020-2021,0,,,,95,Low,45,INST01,22,FEMALE
H1918-21,2020-2021,1,03-07-2021,Late,Personal,53,Medium,50,INST02,22,FEMALE
H412-23,2022-2023,0,,,,62,Low,41,INST01,23,FEMALE
H900-22,2021-2022,1,01-07-2021,Early,Health,48,High,50,INST01,20,FEMALE
H414-21,2020-2021,0,,,,82,High,44,INST02,22,FEMALE
H415-23,2022-2023,0,,,,42,High,53,INST01,17,FEMALE
H416-21,2020-2021,0,,,,95,Medium,67,INST02,24,male
H504-22,2021-2022,1,16-02-2022,Mid,Health,47,High,50,INST01,19,Male
H1587-23,2022-2023,1,30-08-2021,Late,Academic,47,High,50,INST01,24,female
H419-21,2020-2021,0,,,,88,Medium,85,INST01,22,male
H1827-21,2020-2021,1,12-11-2021,Mid,Health,47,Medium,50,INST02,22,Male
H1509-21,2020-2021,1,05-01-2022,Mid,Health,46,Low,50,INST02,23,male
H849-23,2022-2023,1,16-06-2021,Late,Financial,45,High,50,INST01,19,FEMALE
H1492-22,2021-2022,1,05-10-2021,Early,Personal,45,Medium,50,INST01,22,female
H424-21,2020-2021,0,,,,38,Medium,53,INST02,23,Female
H425-21,2020-2021,0,,,,70,High,40,INST02,18,female
H426-21,2020-2021,0,,,,52,Low,52,INST01,18,female
H1500-23,2022-2023,1,23-03-2022,Mid,Academic,45,High,50,INST02,22,MALE
H428-22,2021-2022,0,,,,87,Medium,44,INST01,21,Male
H1785-21,2020-2021,1,20-06-2021,Late,Personal,44,Low,50,INST02,22,female
H430-23,2022-2023,0,,,,46,High,74,INST01,17,MALE
H431-21,2020-2021,0,,,,89,Medium,36,INST02,17,male
H745-21,2020-2021,1,16-10-2021,Mid,Health,41,Medium,50,INST02,20,male
H433-22,2021-2022,0,,,,86,High,78,INST01,25,female
H434-23,2022-2023,0,,,,45,Low,59,INST01,24,FEMALE
H747-21,2020-2021,1,07-08-2021,Early,Personal,41,Medium,50,INST02,18,female
H1547-23,2022-2023,1,26-09-2021,Early,Financial,40,Low,50,INST01,24,Male
H1060-23,2022-2023,1,21-09-2021,Mid,Health,39,Low,50,INST01,20,MALE
H438-21,2020-2021,0,,,,38,Medium,35,INST01,20,female
H490-21,2020-2021,1,18-12-2021,Mid,Health,36,Low,50,INST02,25,Female
H440-23,2022-2023,0,,,,79,Low,71,INST02,20,female
H118-21,2020-2021,1,23-06-2021,Mid,Financial,34,Medium,50,INST02,18,FEMALE
H442-23,2022-2023,0,,,,43,High,71,INST01,19,male
H443-22,2021-2022,0,,,,36,High,69,INST01,22,MALE
H444-23,2022-2023,0,,,,56,Medium,47,INST02,24,male
H445-23,2022-2023,0,,,,75,High,49,INST02,18,Male
H446-23,2022-2023,0,,,,58,Medium,44,INST01,20,male
H1648-21,2020-2021,1,22-10-2021,Mid,Financial,34,Medium,50,INST01,23,FEMALE
H448-21,2020-2021,0,,,,71,High,54,INST02,21,FEMALE
H1533-23,2022-2023,1,11-01-2022,Mid,Academic,33,High,50,INST02,19,MALE
H868-22,2021-2022,1,05-01-2022,Early,Financial,32,Low,50,INST02,20,Male
H451-22,2021-2022,0,,,,37,Low,54,INST01,19,FEMALE
H452-22,2021-2022,0,,,,43,Low,45,INST02,25,Female
H453-23,2022-2023,0,,,,69,Medium,47,INST01,21,female
H454-21,2020-2021,0,,,,62,Low,50,INST01,25,female
H1210-23,2022-2023,1,08-08-2021,Late,Health,31,Low,50,INST01,23,female
H456-22,2021-2022,0,,,,82,Medium,67,INST01,18,male
H457-21,2020-2021,0,,,,68,Low,59,INST02,17,Male
H458-23,2022-2023,0,,,,64,Medium,86,INST02,25,MALE
H1277-21,2020-2021,1,24-12-2021,Early,Financial,31,Low,50,INST01,,Female
H1036-23,2022-2023,1,15-03-2022,Early,Personal,30,Low,50,INST01,21,FEMALE
H461-21,2020-2021,0,,,,47,Low,54,INST02,18,Female
H462-22,2021-2022,0,,,,75,High,60,INST01,24,female
H1458-21,2020-2021,1,17-08-2021,Early,Personal,28,High,50,INST01,23,Male
H464-23,2022-2023,0,,,,49,Medium,83,INST01,19,female
H839-22,2021-2022,1,14-12-2021,Early,Financial,26,High,50,INST02,22,FEMALE
H995-23,2022-2023,1,06-12-2021,Late,Health,26,High,50,INST01,18,female
H467-23,2022-2023,0,,,,86,Medium,45,INST02,23,female
H468-22,2021-2022,0,,,,39,Low,88,INST02,25,male
H469-22,2021-2022,0,,,,93,High,65,INST02,19,female
H470-22,2021-2022,0,,,,91,Medium,67,INST01,19,Female
H471-21,2020-2021,0,,,,94,Medium,44,INST01,19,female
H1794-23,2022-2023,1,31-12-2021,Late,Health,25,Low,50,INST01,19,male
H253-22,2021-2022,1,28-03-2022,Early,Health,85,High,49,INST02,20,Male
H450-23,2022-2023,1,19-11-2021,Early,Health,55,High,49,INST02,17,FEMALE
H1025-23,2022-2023,1,21-09-2021,Mid,Personal,55,Medium,49,INST02,17,MALE
H1287-22,2021-2022,1,18-06-2021,Late,Financial,55,Low,49,INST02,19,Male
H1566-23,2022-2023,1,06-12-2021,Early,Academic,55,High,49,INST02,18,Female
H1731-23,2022-2023,1,21-11-2021,Late,Personal,53,Low,49,INST02,21,male
H1866-21,2020-2021,1,04-02-2022,Early,Academic,53,Medium,49,INST02,17,Female
H480-23,2022-2023,0,,,,70,Low,71,INST02,20,male
H481-23,2022-2023,0,,,,50,Medium,44,INST02,17,MALE
H061-22,2021-2022,1,26-09-2021,Mid,Academic,52,Medium,49,INST01,18,Female
H483-23,2022-2023,0,,,,91,Low,70,INST02,21,Male
H484-23,2022-2023,0,,,,70,High,50,INST01,20,Female
H1453-23,2022-2023,1,03-11-2021,Early,Personal,51,Low,49,INST02,20,FEMALE
H060-21,2020-2021,1,02-01-2022,Late,Financial,50,Low,49,INST01,19,FEMALE
H230-23,2022-2023,1,27-10-2021,Mid,Health,50,High,49,INST01,21,FEMALE
H1734-21,2020-2021,1,27-09-2021,Early,Academic,50,Medium,49,INST02,23,male
H269-21,2020-2021,1,23-10-2021,Late,Financial,49,Medium,49,INST01,17,Female
H1058-22,2021-2022,1,07-11-2021,Mid,Health,48,High,49,INST02,19,female
H491-23,2022-2023,0,,,,80,Medium,68,INST01,21,female
H219-23,2022-2023,1,25-03-2022,Early,Personal,47,Low,49,INST02,24,female
H493-22,2021-2022,0,,,,54,Low,76,INST01,20,Male
H494-22,2021-2022,0,,,,41,High,60,INST02,24,Male
H1142-22,2021-2022,1,17-03-2022,Mid,Health,46,Low,49,INST01,23,male
H1811-22,2021-2022,1,05-02-2022,Early,Academic,46,Medium,49,INST02,24,male
H116-23,2022-2023,1,29-10-2021,Early,Personal,45,High,49,INST01,24,female
H846-21,2020-2021,1,03-11-2021,Late,Financial,45,High,49,INST02,25,male
H499-21,2020-2021,0,,,,82,High,85,INST01,21,male
H500-21,2020-2021,0,,,,35,Medium,37,INST02,25,FEMALE
H501-22,2021-2022,0,,,,77,High,62,INST01,21,female
H502-21,2020-2021,0,,,,62,Medium,78,INST02,18,FEMALE
H077-23,2022-2023,1,18-01-2022,Late,Academic,44,Low,49,INST01,18,FEMALE
H472-23,2022-2023,1,25-10-2021,Late,Financial,43,High,49,INST02,17,female
H505-21,2020-2021,0,,,,79,Medium,85,INST02,24,female
H506-21,2020-2021,0,,,,40,High,67,INST01,20,female
H388-22,2021-2022,1,20-08-2021,Mid,Personal,42,Low,49,INST01,20,FEMALE
H508-21,2020-2021,0,,,,40,Medium,62,INST01,19,MALE
H418-21,2020-2021,1,28-06-2021,Mid,Personal,42,High,49,INST02,25,MALE
H510-21,2020-2021,0,,,,84,Medium,86,INST01,19,Male
H1716-23,2022-2023,1,18-01-2022,Early,Financial,40,High,49,INST01,24,female
H807-21,2020-2021,1,07-06-2021,Late,Financial,38,High,49,INST02,20,MALE
H1042-21,2020-2021,1,18-09-2021,Late,Health,38,Medium,49,INST01,25,MALE
H514-22,2021-2022,0,,,,80,Low,46,INST01,19,male
H515-22,2021-2022,0,,,,44,High,78,INST02,23,MALE
H516-21,2020-2021,0,,,,43,Medium,60,INST01,25,FEMALE
H1205-23,2022-2023,1,17-08-2021,Late,Financial,38,High,49,INST01,20,Female
H1733-21,2020-2021,1,31-12-2021,Late,Health,37,Medium,49,INST02,20,Male
H519-21,2020-2021,0,,,,76,Low,72,INST02,19,FEMALE
H305-21,2020-2021,1,13-09-2021,Mid,Financial,36,High,49,INST02,19,FEMALE
H521-23,2022-2023,0,,,,69,Low,42,INST01,22,MALE
H522-22,2021-2022,0,,,,64,Medium,51,INST01,23,Female
H523-22,2021-2022,0,,,,46,Low,43,INST02,23,female
H524-23,2022-2023,0,,,,51,Medium,57,INST01,21,MALE
H525-21,2020-2021,0,,,,91,Medium,45,INST02,23,male
H526-21,2020-2021,0,,,,34,Medium,70,INST01,24,Male
H1240-23,2022-2023,1,30-10-2021,Early,Academic,35,Low,49,INST01,24,female
H286-21,2020-2021,1,24-01-2022,Mid,Financial,34,Medium,49,INST02,18,Male
H1912-22,2021-2022,1,14-10-2021,Late,Personal,34,Medium,49,INST01,18,FEMALE
H530-22,2021-2022,0,,,,79,Low,66,INST02,24,male
H1314-23,2022-2023,1,01-07-2021,Early,Financial,32,Medium,49,INST02,19,Male
H532-23,2022-2023,0,,,,68,Low,80,INST01,20,Female
H533-21,2020-2021,0,,,,38,High,80,INST01,20,male
H236-21,2020-2021,1,13-08-2021,Late,Academic,31,High,49,INST02,17,Female
H1614-23,2022-2023,1,22-02-2022,Late,Academic,31,High,49,INST02,21,Female
H1132-23,2022-2023,1,20-09-2021,Early,Financial,30,,49,INST01,20,MALE
H1761-21,2020-2021,1,22-09-2021,Early,Health,30,High,49,INST01,19,male
H538-21,2020-2021,0,,,,56,Medium,51,INST01,19,Female
H009-21,2020-2021,1,05-02-2022,Early,Academic,29,High,49,INST02,21,female
H540-22,2021-2022,0,,,,40,High,56,INST02,21,female
H541-22,2021-2022,0,,,,73,Medium,51,INST02,24,FEMALE
H542-23,2022-2023,0,,,,87,Medium,85,INST01,22,MALE
H543-22,2021-2022,0,,,,44,High,35,INST01,23,MALE
H1845-22,2021-2022,1,29-12-2021,Mid,Academic,29,High,49,INST01,22,female
H545-23,2022-2023,0,,,,93,High,38,INST02,21,FEMALE
H1878-23,2022-2023,1,23-07-2021,Early,Financial,29,Medium,49,INST02,25,female
H153-23,2022-2023,1,26-08-2021,Mid,Financial,28,Low,49,INST01,24,FEMALE
H1522-22,2021-2022,1,07-01-2022,Mid,Academic,27,Medium,49,INST02,24,MALE
H549-22,2021-2022,0,,,,72,High,77,INST02,18,MALE
H042-22,2021-2022,1,06-07-2021,Early,Financial,26,Medium,49,INST02,23,Male
H536-23,2022-2023,1,23-01-2022,Late,Health,26,Low,49,INST02,20,MALE
H1954-21,2020-2021,1,01-11-2021,Early,Financial,25,High,49,INST02,22,female
H553-23,2022-2023,0,,,,63,Low,36,INST02,24,female
H1034-22,2021-2022,1,17-11-2021,Mid,Health,55,,48,INST02,25,Female
H555-21,2020-2021,0,,,,33,Low,39,INST02,19,male
H556-23,2022-2023,0,,,,32,Low,45,INST01,22,female
H557-21,2020-2021,0,,,,84,Low,77,INST02,17,male
H558-23,2022-2023,0,,,,61,High,87,INST02,21,male
H559-23,2022-2023,0,,,,76,Low,82,INST02,17,Female
H1269-22,2021-2022,1,23-03-2022,Late,Health,55,High,48,INST02,22,MALE
H966-23,2022-2023,1,29-11-2021,Early,Personal,54,Low,48,INST02,21,MALE
H562-23,2022-2023,0,,,,93,High,75,INST01,18,male
H563-23,2022-2023,0,,,,61,High,36,INST02,18,MALE
H564-21,2020-2021,0,,,,75,High,76,INST01,21,Female
H565-22,2021-2022,0,,,,72,Low,59,INST01,20,male
H1805-23,2022-2023,1,08-01-2022,Early,Personal,54,High,48,INST01,18,male
H826-23,2022-2023,1,05-02-2022,Late,Academic,52,,48,INST02,25,Male
H1956-21,2020-2021,1,05-01-2022,Early,Financial,50,High,48,INST01,24,FEMALE
H569-23,2022-2023,0,,,,66,Low,35,INST01,18,male
H570-22,2021-2022,0,,,,93,High,81,INST02,18,female
H571-22,2021-2022,0,,,,87,Medium,37,INST01,21,male
H180-22,2021-2022,1,12-10-2021,Early,Financial,49,High,48,INST02,18,Male
H1482-21,2020-2021,1,18-01-2022,Mid,Academic,49,High,48,INST01,24,male
H574-21,2020-2021,0,,,,78,High,41,INST01,22,male
H617-23,2022-2023,1,15-07-2021,Early,Personal,48,Medium,48,INST01,23,male
H198-22,2021-2022,1,20-06-2021,Mid,Academic,47,Medium,48,INST01,19,male
H577-22,2021-2022,0,,,,35,High,40,INST02,19,Male
H578-21,2020-2021,0,,,,75,Medium,36,INST02,19,FEMALE
H579-21,2020-2021,0,,,,43,Low,64,INST01,17,FEMALE
H580-21,2020-2021,0,,,,33,Low,68,INST02,18,Female
H581-22,2021-2022,0,,,,66,High,42,INST01,24,MALE
H1094-23,2022-2023,1,20-01-2022,Mid,Personal,47,Medium,48,INST02,19,Female
H1262-22,2021-2022,1,13-08-2021,Early,Health,47,Medium,48,INST02,17,female
H227-23,2022-2023,1,14-03-2022,Early,Academic,46,High,48,INST02,20,male
H585-22,2021-2022,0,,,,30,High,69,INST02,25,female
H586-22,2021-2022,0,,,,68,High,54,INST01,22,Male
H587-23,2022-2023,0,,,,61,Medium,84,INST02,24,MALE
H588-22,2021-2022,0,,,,30,Medium,90,INST01,22,female
H772-21,2020-2021,1,07-01-2022,Late,Academic,46,High,48,INST02,19,Male
H590-22,2021-2022,0,,,,70,Medium,38,INST01,25,MALE
H591-21,2020-2021,0,,,,88,Medium,58,INST02,24,MALE
H592-22,2021-2022,0,,,,73,Low,36,INST01,23,male
H593-21,2020-2021,0,,,,43,Low,42,INST02,22,female
H1787-22,2021-2022,1,25-06-2021,Late,Academic,45,Low,48,INST01,24,MALE
H595-23,2022-2023,0,,,,83,Low,59,INST02,22,female
H596-23,2022-2023,0,,,,63,Medium,57,INST02,20,Female
H597-21,2020-2021,0,,,,57,High,39,INST01,18,male
H598-21,2020-2021,0,,,,92,Low,65,INST01,17,Female
H599-23,2022-2023,0,,,,81,Medium,70,INST01,23,female
H311-23,2022-2023,1,16-03-2022,Early,Academic,44,Medium,48,INST01,20,Female
H601-22,2021-2022,0,,,,43,Medium,89,INST01,22,FEMALE
H602-23,2022-2023,0,,,,65,High,59,INST02,24,male
H1194-23,2022-2023,1,27-06-2021,Early,Health,44,High,48,INST01,23,MALE
H604-21,2020-2021,0,,,,34,Low,48,INST01,17,MALE
H605-23,2022-2023,0,,,,78,High,77,INST02,17,male
H1930-21,2020-2021,1,14-02-2022,Early,Financial,44,Medium,48,INST01,17,FEMALE
H607-22,2021-2022,0,,,,67,Low,54,INST02,24,female
H608-22,2021-2022,0,,,,41,High,36,INST01,17,male
H609-22,2021-2022,0,,,,55,High,55,INST02,21,female
H610-22,2021-2022,0,,,,92,High,56,INST01,18,female
H611-21,2020-2021,0,,,,76,Low,84,INST02,19,female
H1980-21,2020-2021,1,18-03-2022,Early,Academic,44,Low,48,INST01,25,female
H613-21,2020-2021,0,,,,39,Low,86,INST02,24,female
H614-22,2021-2022,0,,,,77,High,77,INST02,24,FEMALE
H615-21,2020-2021,0,,,,46,High,81,INST02,25,FEMALE
H616-22,2021-2022,0,,,,92,High,51,INST01,18,FEMALE
H015-21,2020-2021,1,06-12-2021,Mid,Financial,43,High,48,INST02,24,female
H618-22,2021-2022,0,,,,49,Low,59,INST01,24,FEMALE
H1687-23,2022-2023,1,07-08-2021,Mid,Academic,43,Low,48,INST02,17,male
H1014-21,2020-2021,1,04-12-2021,Late,Personal,40,Medium,48,INST02,18,Female
H621-22,2021-2022,0,,,,67,Medium,59,INST02,21,female
H622-21,2020-2021,0,,,,40,Low,35,INST02,19,Male
H623-23,2022-2023,0,,,,74,High,83,INST02,25,MALE
H1945-21,2020-2021,1,29-10-2021,Early,Health,40,High,48,INST01,19,MALE
H513-22,2021-2022,1,02-11-2021,Early,Health,39,Medium,48,INST02,18,female
H626-22,2021-2022,0,,,,37,Low,87,INST01,19,Female
H627-21,2020-2021,0,,,,95,Medium,41,INST01,21,male
H1126-23,2022-2023,1,05-02-2022,Late,Health,37,Low,48,INST01,23,Male
H1224-22,2021-2022,1,24-10-2021,Mid,Personal,31,Medium,48,INST02,18,female
H030-21,2020-2021,1,13-01-2022,Late,Personal,29,High,48,INST02,18,Female
H670-23,2022-2023,1,06-06-2021,Mid,Financial,29,Low,48,INST01,21,Male
H941-23,2022-2023,1,25-06-2021,Mid,Academic,28,Medium,48,INST02,22,male
H633-23,2022-2023,0,,,,64,Low,84,INST01,24,Female
H634-23,2022-2023,0,,,,89,High,72,INST02,22,MALE
H265-23,2022-2023,1,03-03-2022,Mid,Academic,27,Medium,48,INST01,22,female
H728-21,2020-2021,1,16-10-2021,Late,Personal,27,Medium,48,INST02,17,male
H637-22,2021-2022,0,,,,32,High,47,INST02,19,female
H638-21,2020-2021,0,,,,73,High,53,INST01,22,Male
H1358-23,2022-2023,1,24-09-2021,Early,Personal,27,High,48,INST02,21,female
H640-23,2022-2023,0,,,,71,High,42,INST02,23,female
H965-21,2020-2021,1,20-07-2021,Early,Health,26,High,48,INST02,20,female
H1512-22,2021-2022,1,23-12-2021,Late,Financial,26,Low,48,INST02,22,Male
H1165-23,2022-2023,1,05-01-2022,Late,Personal,25,Low,48,INST01,21,MALE
H644-22,2021-2022,0,,,,65,High,35,INST02,19,FEMALE
H645-23,2022-2023,0,,,,49,High,57,INST02,20,female
H1770-22,2021-2022,1,23-06-2021,Mid,Personal,25,High,48,INST02,25,male
H647-23,2022-2023,0,,,,76,Medium,71,INST01,17,Male
H854-23,2022-2023,1,10-01-2022,Early,Academic,55,Low,47,INST01,19,FEMALE
H649-22,2021-2022,0,,,,65,High,72,INST02,24,male
H650-23,2022-2023,0,,,,38,Low,62,INST02,25,MALE
H651-22,2021-2022,0,,,,30,High,45,INST01,20,Female
H652-22,2021-2022,0,,,,86,Low,65,INST01,22,male
H1691-21,2020-2021,1,18-07-2021,Mid,Health,55,Medium,47,INST01,23,male
H654-22,2021-2022,0,,,,34,Low,72,INST02,21,Male
H655-23,2022-2023,0,,,,43,High,79,INST01,25,MALE
H656-22,2021-2022,0,,,,33,Low,64,INST02,25,Male
H896-23,2022-2023,1,12-06-2021,Mid,Personal,54,Low,47,INST01,18,FEMALE
H313-21,2020-2021,1,11-06-2021,Mid,Health,53,Medium,47,INST01,19,MALE
H738-21,2020-2021,1,24-07-2021,Early,Personal,53,High,47,INST01,23,female
H1922-21,2020-2021,1,21-08-2021,Mid,Health,53,Low,47,INST01,17,Female
H661-23,2022-2023,0,,,,42,High,45,INST02,18,MALE
H662-22,2021-2022,0,,,,88,Low,60,INST01,17,Female
H1256-22,2021-2022,1,19-11-2021,Early,Financial,52,Low,47,INST01,20,Male
H664-22,2021-2022,0,,,,34,Low,72,INST02,21,MALE
H928-22,2021-2022,1,30-06-2021,Late,Academic,51,Low,47,INST02,18,male
H1078-23,2022-2023,1,14-09-2021,Late,Academic,51,Low,47,INST01,18,MALE
H667-21,2020-2021,0,,,,56,Medium,63,INST02,22,FEMALE
H668-23,2022-2023,0,,,,85,Medium,78,INST01,21,male
H669-21,2020-2021,0,,,,42,Low,52,INST02,25,Male
H1281-22,2021-2022,1,17-12-2021,Late,Academic,50,High,47,INST02,21,female
H1104-23,2022-2023,1,28-06-2021,Mid,Personal,48,Medium,47,INST02,21,FEMALE
H335-21,2020-2021,1,16-07-2021,Early,Financial,47,,47,INST02,18,male
H1808-22,2021-2022,1,02-09-2021,Mid,Academic,45,High,47,INST02,19,MALE
H674-21,2020-2021,0,,,,75,Medium,66,INST02,21,female
H890-23,2022-2023,1,04-12-2021,Mid,Financial,44,Low,47,INST01,20,Male
H041-22,2021-2022,1,21-06-2021,Late,Academic,43,Medium,47,INST02,21,MALE
H1100-21,2020-2021,1,07-09-2021,Early,Financial,43,Low,47,INST01,20,MALE
H678-23,2022-2023,0,,,,54,Medium,62,INST01,21,female
H679-23,2022-2023,0,,,,59,Medium,65,INST02,20,female
H639-23,2022-2023,1,17-07-2021,Early,Personal,42,High,47,INST02,25,FEMALE
H817-23,2022-2023,1,11-08-2021,Mid,Personal,42,High,47,INST01,21,male
H512-22,2021-2022,1,07-07-2021,Late,Health,41,Medium,47,INST01,25,MALE
H683-22,2021-2022,0,,,,86,Medium,42,INST02,22,female
H684-21,2020-2021,0,,,,41,High,41,INST02,17,MALE
H685-21,2020-2021,0,,,,49,Medium,79,INST01,25,Male
H686-22,2021-2022,0,,,,90,Low,72,INST01,23,FEMALE
H687-23,2022-2023,0,,,,38,Medium,41,INST02,25,female
H967-22,2021-2022,1,06-08-2021,Mid,Academic,40,Medium,47,INST02,19,female
H663-21,2020-2021,1,17-10-2021,Mid,Academic,37,High,47,INST01,19,male
H1183-23,2022-2023,1,26-11-2021,Late,Financial,34,Low,47,INST01,,MALE
H691-22,2021-2022,0,,,,79,Low,35,INST02,23,male
H1993-23,2022-2023,1,30-11-2021,Mid,Financial,32,High,47,INST02,18,Male
H693-21,2020-2021,0,,,,54,,58,INST01,20,female
H914-22,2021-2022,1,04-10-2021,Mid,Personal,30,High,47,INST02,,MALE
H695-23,2022-2023,0,,,,94,,62,INST02,18,MALE
H971-23,2022-2023,1,20-07-2021,Mid,Personal,29,High,47,INST02,17,female
H1961-21,2020-2021,1,21-08-2021,Mid,Health,29,High,47,INST02,23,male
H698-22,2021-2022,0,,,,56,High,69,INST02,22,female
H699-21,2020-2021,0,,,,40,Low,53,INST02,20,male
H700-22,2021-2022,0,,,,95,High,87,INST01,25,Male
H818-21,2020-2021,1,26-02-2022,Mid,Academic,28,Medium,47,INST02,24,male
H702-23,2022-2023,0,,,,56,Medium,50,INST02,25,male
H725-21,2020-2021,1,10-03-2022,Mid,Health,27,High,47,INST02,19,Male
H704-23,2022-2023,0,,,,84,High,47,INST01,20,male
H1935-21,2020-2021,1,01-12-2021,Late,Financial,27,Low,47,INST02,17,MALE
H706-22,2021-2022,0,,,,90,High,73,INST02,25,male
H068-23,2022-2023,1,26-01-2022,Early,Personal,85,Medium,46,INST01,20,MALE
H421-23,2022-2023,1,02-06-2021,Early,Health,55,Low,46,INST02,20,Male
H1299-22,2021-2022,1,04-09-2021,Early,Financial,55,High,46,INST02,18,male
H945-22,2021-2022,1,06-08-2021,Mid,Personal,53,,46,INST02,20,FEMALE
H711-23,2022-2023,0,,,,63,Medium,58,INST01,19,FEMALE
H1493-23,2022-2023,1,19-07-2021,Early,Academic,52,Low,46,INST01,18,female
H713-23,2022-2023,0,,,,90,Medium,36,INST02,17,MALE
H714-22,2021-2022,0,,,,50,Low,58,INST02,25,MALE
H715-21,2020-2021,0,,,,58,Medium,89,INST01,20,Female
H716-22,2021-2022,0,,,,85,Low,75,INST02,22,MALE
H337-21,2020-2021,1,19-02-2022,Early,Financial,51,,46,INST02,17,FEMALE
H742-22,2021-2022,1,13-10-2021,Mid,Financial,51,High,46,INST01,20,Male
H404-21,2020-2021,1,11-09-2021,Early,Academic,50,Low,46,INST02,17,MALE
H720-22,2021-2022,0,,,,88,High,36,INST02,20,MALE
H721-21,2020-2021,0,,,,86,High,40,INST02,22,female
H1216-21,2020-2021,1,06-12-2021,Mid,Personal,48,Medium,46,INST01,20,FEMALE
H420-22,2021-2022,1,22-11-2021,Early,Health,47,Low,46,INST02,17,Male
H724-23,2022-2023,0,,,,46,High,59,INST02,18,female
H1004-23,2022-2023,1,24-03-2022,Early,Academic,47,Low,46,INST01,24,FEMALE
H726-22,2021-2022,0,,,,87,Medium,45,INST02,23,MALE
H727-22,2021-2022,0,,,,30,Medium,83,INST01,25,FEMALE
H635-21,2020-2021,1,22-01-2022,Late,Financial,46,Medium,46,INST02,21,male
H1577-21,2020-2021,1,20-01-2022,Late,Financial,45,Low,46,INST02,18,MALE
H730-21,2020-2021,0,,,,71,Medium,89,INST02,19,Female
H731-22,2021-2022,0,,,,36,Medium,42,INST01,18,Male
H732-23,2022-2023,0,,,,74,Low,47,INST01,23,Female
H978-22,2021-2022,1,02-10-2021,Mid,Financial,44,,46,INST02,18,MALE
H534-21,2020-2021,1,28-01-2022,Early,Personal,42,Medium,46,INST01,20,Male
H1091-23,2022-2023,1,16-03-2022,Early,Financial,42,Low,46,INST01,23,FEMALE
H1255-21,2020-2021,1,21-11-2021,Late,Financial,42,High,46,INST01,20,Female
H737-22,2021-2022,0,,,,74,Medium,77,INST01,19,female
H539-22,2021-2022,1,17-08-2021,Late,Financial,41,Medium,46,INST01,17,FEMALE
H739-23,2022-2023,0,,,,90,High,50,INST01,23,Female
H1007-22,2021-2022,1,20-01-2022,Early,Personal,41,High,46,INST02,17,female
H1383-22,2021-2022,1,06-02-2022,Early,Academic,41,Low,46,INST01,18,male
